time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-10T15:43:40.120Z,-17.8714,-178.4629,569.25,4.4,mb,,119,3.321,0.55,us,us6000ftix,2021-10-10T16:07:11.040Z,"236 km E of Levuka, Fiji",earthquake,12.9,6.9,0.035,231,reviewed,us,us
2021-10-10T15:02:41.414Z,30.05,67.9376,10,4.5,mb,,142,4.574,0.64,us,us6000ftip,2021-10-10T16:27:46.281Z,"5 km S of Harnai, Pakistan",earthquake,4.5,1.9,0.105,30,reviewed,us,us
2021-10-10T14:16:15.906Z,42.3494,143.0581,61.73,4.9,mb,,109,0.342,0.48,us,us6000ftih,2021-10-10T15:24:47.037Z,"56 km E of Shizunai-furukawach?, Japan",earthquake,8,6,0.028,412,reviewed,us,us
2021-10-10T14:03:13.056Z,-23.8673,-66.9453,236.48,4.3,mb,,99,1.454,0.27,us,us6000ftif,2021-10-10T14:24:16.040Z,"74 km WNW of San Antonio de los Cobres, Argentina",earthquake,9.6,9.7,0.188,10,reviewed,us,us
2021-10-10T14:02:15.686Z,65.2264,-166.2319,10,3,ml,,143,0.758,0.66,us,us6000ftie,2021-10-10T14:57:18.040Z,"7 km SE of Teller, Alaska",earthquake,6.3,2,0.077,22,reviewed,us,us
2021-10-10T13:17:13.904Z,31.60517555,-104.5228474,8.522412109,3.8,ml,17,85,0.06626471731,0.2,tx,tx2021twgf,2021-10-10T15:21:06.357Z,"64 km SSW of Whites City, New Mexico",earthquake,1.584239702,1.487723197,0.1,11,reviewed,tx,tx
2021-10-10T12:05:10.401Z,64.7409,-149.1629,18.4,3.1,ml,,,,0.66,ak,ak021d089idi,2021-10-10T13:10:41.305Z,"15 km N of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-10T11:39:34.587Z,36.5089,70.8269,193.68,4.3,mb,,92,0.647,0.5,us,us6000fthu,2021-10-10T11:59:43.040Z,"39 km S of Jurm, Afghanistan",earthquake,8.3,5.2,0.08,44,reviewed,us,us
2021-10-10T11:32:36.583Z,3.3673,122.9645,552.46,4.5,mb,,86,3.127,0.63,us,us6000fthq,2021-10-10T11:49:17.040Z,"295 km NW of Manado, Indonesia",earthquake,4.1,9.4,0.072,57,reviewed,us,us
2021-10-10T10:59:22.484Z,51.8746,-174.9763,80.28,4,mb,,176,0.599,0.54,us,us6000ftjq,2021-10-11T05:54:54.040Z,"64 km SW of Atka, Alaska",earthquake,3.4,8.9,0.069,57,reviewed,us,us
2021-10-10T10:22:06.470Z,17.9841,-66.8486,12,2.87,md,21,162,0.0319,0.12,pr,pr2021283005,2021-10-10T10:45:40.428Z,"3 km WSW of Indios, Puerto Rico",earthquake,0.55,0.27,0.22,7,reviewed,pr,pr
2021-10-10T09:55:04.363Z,38.7645,-119.5888,3.9,2.5,ml,27,61.82,0.067,0.216,nn,nn00825312,2021-10-10T17:51:10.744Z,"8 km WNW of Topaz Ranch Estates, Nevada",earthquake,,0.6,0.38,15,automatic,nn,nn
2021-10-10T09:31:50.940Z,19.1633338928223,-155.48583984375,32.1699981689453,2.6,ml,48,155,,0.140000001,hv,hv72748292,2021-10-11T02:29:03.054Z,"4 km S of P?hala, Hawaii",earthquake,0.47,0.810000002,4.17,14,automatic,hv,hv
2021-10-10T09:23:30.258Z,-16.6077,-72.1844,90.09,4.5,mb,,143,2.483,0.48,us,us6000fth3,2021-10-11T01:57:02.812Z,"16 km SW of Santa Rita de Siguas, Peru",earthquake,10.1,13.5,0.145,15,reviewed,us,us
2021-10-10T07:47:05.727Z,-19.8404,-177.6433,368.93,4.3,mb,,139,4.578,0.66,us,us6000ftgx,2021-10-10T08:27:21.040Z,"292 km WNW of Haveluloto, Tonga",earthquake,13.1,8.5,0.103,30,reviewed,us,us
2021-10-10T05:30:22.143Z,60.9252,-149.715,27.8,2.7,ml,,,,0.55,ak,ak021d048uw2,2021-10-10T19:17:39.026Z,"4 km WNW of Hope, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-10-10T05:25:38.776Z,-56.6922,-27.3418,147.93,4.9,mb,,74,5.732,0.8,us,us6000ftgg,2021-10-10T05:45:10.040Z,"South Sandwich Islands region",earthquake,11.9,8.6,0.065,74,reviewed,us,us
2021-10-10T05:04:25.346Z,-17.5057,-175.1416,295.63,4.3,mb,,130,4.281,0.62,us,us6000ftgd,2021-10-10T05:23:20.040Z,"176 km NW of Neiafu, Tonga",earthquake,13.9,11.6,0.101,33,reviewed,us,us
2021-10-10T04:38:02.050Z,38.7859993,-122.7675018,1.39,2.67,md,55,57,0.01532,0.07,nc,nc73637770,2021-10-11T01:06:38.689Z,"1km NW of The Geysers, CA",earthquake,0.14,0.23,0.11,40,automatic,nc,nc
2021-10-10T04:06:20.712Z,-8.7782,-74.6782,138.8,4.6,mb,,108,2.213,0.53,us,us6000ftfu,2021-10-10T04:20:46.040Z,"3 km ESE of Honoria, Peru",earthquake,4.3,8.3,0.054,104,reviewed,us,us
2021-10-10T02:58:05.880Z,17.957,-66.8725,11,2.54,md,11,204,0.0193,0.07,pr,pr2021283004,2021-10-10T04:24:47.716Z,"2 km SE of Maria Antonia, Puerto Rico",earthquake,0.5,0.41,0.29,3,reviewed,pr,pr
2021-10-10T02:57:39.380Z,18.866,-64.6701,29,3.03,md,3,349,0.8289,0.18,pr,pr2021283003,2021-10-10T03:56:16.991Z,"60 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,4.75,13.06,0.01,2,reviewed,pr,pr
2021-10-10T01:48:58.110Z,30.3576,94.824,34.87,4.7,mb,,117,5.446,0.68,us,us6000ftez,2021-10-10T02:07:59.040Z,"207 km NNE of Shi Yomi, India",earthquake,11.6,6.2,0.106,29,reviewed,us,us
2021-10-10T01:35:27.720Z,17.8075,-66.9306,10,2.56,md,14,242,0.1753,0.09,pr,pr2021283001,2021-10-10T02:06:41.118Z,"18 km S of Guánica, Puerto Rico",earthquake,0.46,0.37,0.07,5,reviewed,pr,pr
2021-10-10T01:21:24.651Z,56.7128,-149.5172,10,3.4,ml,,267,1.982,0.44,us,us6000ftes,2021-10-10T01:54:45.040Z,"194 km ESE of Chiniak, Alaska",earthquake,4.5,2,0.055,44,reviewed,us,us
2021-10-10T01:00:28.682Z,57.3342,-156.0804,0,2.9,ml,,,,1.27,ak,ak021d01opk3,2021-10-10T01:21:27.981Z,"81 km ESE of Ugashik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-10-10T00:49:32.350Z,19.1658,-65.8736,8,3.28,md,11,280,0.8822,0.4,pr,pr2021283000,2021-10-10T01:22:16.734Z,"81 km NNE of San Juan, Puerto Rico",earthquake,4.91,7.09,0.04,7,reviewed,pr,pr
2021-10-10T00:20:41.030Z,-11.7378,-71.7073,13.45,5.7,mww,,76,4.102,1.36,us,us6000fteg,2021-10-11T00:24:47.179Z,"127 km NNW of Salvación, Peru",earthquake,5.7,3.3,0.044,50,reviewed,us,us
2021-10-09T23:33:46.390Z,-21.1246,-68.884,115.42,4.8,mb,,54,0.569,0.84,us,us6000ftea,2021-10-10T03:38:33.492Z,"147 km N of Calama, Chile",earthquake,5.3,5.1,0.044,157,reviewed,us,us
2021-10-09T23:11:00.019Z,-15.5959,-72.2667,10,4.4,mb,,129,3.317,1.02,us,us6000fte6,2021-10-09T23:25:05.040Z,"9 km N of Ayo, Peru",earthquake,6.1,1.9,0.105,26,reviewed,us,us
2021-10-09T23:08:44.500Z,19.2231666666667,-155.4145,35.63,3.58,ml,55,138,,0.13,hv,hv72747727,2021-10-11T02:29:31.561Z,"7 km ENE of P?hala, Hawaii",earthquake,0.43,0.54,0.172185704323282,38,reviewed,hv,hv
2021-10-09T23:05:03.150Z,18.6496,-66.7508,13,3.01,md,14,232,0.2806,0.28,pr,pr2021282010,2021-10-09T23:47:04.159Z,"Puerto Rico region",earthquake,0.75,0.86,0.2,9,reviewed,pr,pr
2021-10-09T22:51:25.620Z,38.7865,-122.7673333,1.6,2.56,md,81,49,0.01531,0.05,nc,nc73637645,2021-10-10T22:43:10.176Z,"1km NW of The Geysers, CA",earthquake,0.12,0.17,0.158,60,reviewed,nc,nc
2021-10-09T22:48:13.100Z,43.7908333,-110.9225,10.94,2.57,ml,15,120,0.103,0.21,mb,mb80526644,2021-10-10T18:10:50.304Z,"10 km ENE of Alta, Wyoming",earthquake,0.65,0.86,0.176,25,reviewed,mb,mb
2021-10-09T22:30:46.340Z,18.7696,-67.2721,20,3.22,md,22,265,0.3423,0.23,pr,pr2021282009,2021-10-10T00:27:44.040Z,"35 km NNW of San Antonio, Puerto Rico",earthquake,0.9,19.01,0.09,9,reviewed,pr,pr
2021-10-09T22:15:28.720Z,60.198,-139.6211,0,2.5,ml,,,,0.77,ak,ak021cyqqoi7,2021-10-09T23:29:26.040Z,"72 km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-09T20:23:34.157Z,57.1004,-156.0008,0,3.4,ml,,,,0.92,ak,ak021cyplk61,2021-10-09T21:37:50.040Z,"95 km ESE of Ugashik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-10-09T20:17:40.420Z,18.9431,-65.2806,24,3.27,md,13,293,0.6356,0.13,pr,pr2021282008,2021-10-10T00:27:46.424Z,"70 km N of Culebra, Puerto Rico",earthquake,0.9,10.31,0.06,5,reviewed,pr,pr
2021-10-09T20:01:50.856Z,-4.6488,153.0318,52.86,5.5,mww,,27,6.219,1.17,us,us6000ftd2,2021-10-10T20:05:58.651Z,"91 km ESE of Kokopo, Papua New Guinea",earthquake,8.5,4.2,0.062,25,reviewed,us,us
